,time,temp,windsp,winddir,humid,cloud,sun_hr,solar,so2,co,ozone,no2,pm2.5,pm10,rn,month,season
50,2018-03-03 02:00:00,2.2,0.3,0.0,69.0,,,,0.006,5.1,0.011000000000000001,0.05,49.0,68.0,1.2916666666666667,3,2
51,2018-03-03 03:00:00,2.7,0.9,20.0,63.0,3.0,,,0.006999999999999999,4.0,0.008,0.05,48.0,55.0,1.9375,3,2
52,2018-03-03 04:00:00,3.7,1.8,340.0,55.0,4.0,,,0.006,1.8,0.002,0.047,48.0,56.0,2.5833333333333335,3,2
53,2018-03-03 05:00:00,2.8,0.4,0.0,58.0,7.0,,,0.005,3.2,0.004,0.039,48.0,61.0,3.229166666666667,3,2
54,2018-03-03 06:00:00,4.0,1.5,340.0,52.0,9.0,,,0.006,2.0,0.003,0.042,46.0,56.0,3.875,3,2
55,2018-03-03 07:00:00,3.3,1.2,320.0,54.0,8.0,0.0,0.0,0.004,2.6,0.003,0.045,44.0,50.0,4.520833333333334,3,2
56,2018-03-03 08:00:00,4.7,1.7,340.0,51.0,8.0,0.2,0.12,0.004,2.7,0.003,0.046,41.0,56.0,5.166666666666667,3,2
57,2018-03-03 09:00:00,7.0,1.8,340.0,44.0,8.0,0.7,0.39,0.005,2.7,0.009000000000000001,0.046,54.0,61.0,5.8125,3,2
58,2018-03-03 10:00:00,8.3,1.6,340.0,42.0,7.0,1.0,0.91,0.006,0.9,0.013000000000000001,0.042,50.0,65.0,6.458333333333334,3,2
59,2018-03-03 11:00:00,9.7,1.8,160.0,41.0,8.0,1.0,1.18,0.006,0.8,0.02,0.037000000000000005,45.0,67.0,7.104166666666667,3,2
60,2018-03-03 12:00:00,12.8,1.1,140.0,25.0,8.0,1.0,1.15,0.017,0.7,0.023,0.046,48.0,68.0,7.75,3,2
61,2018-03-03 13:00:00,13.3,2.6,160.0,30.0,8.0,1.0,1.41,0.053,0.6,0.025,0.054000000000000006,46.0,82.0,8.395833333333334,3,2
62,2018-03-03 14:00:00,14.4,2.8,140.0,39.0,3.0,1.0,1.38,0.018000000000000002,0.5,0.051,0.034,42.0,62.0,9.041666666666668,3,2
63,2018-03-03 15:00:00,15.1,3.1,140.0,51.0,0.0,1.0,1.28,0.022000000000000002,0.5,0.051,0.032,24.0,58.0,9.6875,3,2
64,2018-03-03 16:00:00,15.2,2.6,140.0,58.0,0.0,1.0,0.94,0.024,0.5,0.055999999999999994,0.024,25.0,55.0,10.333333333333334,3,2
65,2018-03-03 17:00:00,14.9,2.7,160.0,63.0,0.0,1.0,0.55,0.027999999999999997,0.5,0.046,0.027000000000000003,29.0,48.0,10.979166666666668,3,2
66,2018-03-03 18:00:00,13.7,2.1,160.0,68.0,0.0,1.0,0.19,0.024,0.5,0.037000000000000005,0.033,38.0,51.0,11.625,3,2
67,2018-03-03 19:00:00,11.5,1.7,160.0,85.0,,0.0,0.0,0.027000000000000003,0.6,0.022000000000000002,0.046,35.0,49.0,12.270833333333334,3,2
68,2018-03-03 20:00:00,11.7,2.7,200.0,71.0,,,,0.036000000000000004,0.5,0.022000000000000002,0.049,44.0,55.0,12.916666666666668,3,2
69,2018-03-03 21:00:00,11.4,1.8,230.0,65.0,0.0,,,0.025,0.3,0.04,0.033,32.0,40.0,13.5625,3,2
70,2018-03-03 22:00:00,11.1,2.0,200.0,67.0,,,,0.024,0.4,0.021,0.04,21.0,38.0,14.208333333333334,3,2
71,2018-03-03 23:00:00,10.9,2.5,230.0,69.0,,,,0.022000000000000002,0.4,0.023,0.035,21.0,34.0,14.854166666666668,3,2
72,2018-03-04 00:00:00,9.5,0.3,0.0,75.0,0.0,,,0.027000000000000003,0.4,0.013999999999999999,0.043,27.0,33.0,15.5,3,2
73,2018-03-04 01:00:00,9.4,2.0,340.0,77.0,,,,0.026000000000000002,0.4,0.008,0.052000000000000005,23.0,28.0,15.441666666666666,3,2
74,2018-03-04 02:00:00,9.2,1.4,360.0,83.0,,,,0.009000000000000001,1.1,0.016,0.045,24.0,31.0,15.383333333333333,3,2
75,2018-03-04 03:00:00,10.2,2.8,320.0,82.0,1.0,,,0.005,1.8,0.008,0.044000000000000004,26.0,31.0,15.325,3,2
76,2018-03-04 04:00:00,8.8,1.1,360.0,85.0,1.0,,,0.006,0.4,0.015,0.03,30.0,37.0,15.266666666666666,3,2
77,2018-03-04 05:00:00,7.8,0.5,360.0,88.0,0.0,,,0.006999999999999999,2.2,0.027999999999999997,0.02,22.0,33.0,15.208333333333334,3,2
78,2018-03-04 06:00:00,6.7,0.8,140.0,95.0,0.0,,,0.006999999999999999,0.5,0.012,0.028999999999999998,36.0,42.0,15.15,3,2
79,2018-03-04 07:00:00,7.2,0.7,20.0,98.0,0.0,0.0,0.0,0.008,0.4,0.013000000000000001,0.031,30.0,39.0,15.091666666666667,3,2
80,2018-03-04 08:00:00,11.3,0.9,320.0,89.0,2.0,0.4,0.14,0.006,0.4,0.01,0.035,28.0,38.0,15.033333333333333,3,2
81,2018-03-04 09:00:00,13.0,1.2,360.0,73.0,1.0,1.0,0.58,0.004,0.4,0.032,0.025,31.0,39.0,14.975,3,2
82,2018-03-04 10:00:00,16.2,1.2,140.0,62.0,3.0,1.0,0.96,0.027999999999999997,0.5,0.024,0.037000000000000005,23.0,29.0,14.916666666666666,3,2
83,2018-03-04 11:00:00,17.1,2.0,160.0,68.0,6.0,0.6,0.82,0.035,0.6,0.03,0.028999999999999998,62.0,74.0,14.858333333333333,3,2
84,2018-03-04 12:00:00,18.0,2.7,160.0,63.0,8.0,0.0,0.6,0.018000000000000002,0.5,0.057,0.019,34.0,39.0,14.8,3,2
85,2018-03-04 13:00:00,15.5,2.7,160.0,79.0,10.0,0.0,0.68,0.012,0.4,0.053,0.022000000000000002,22.0,26.0,14.741666666666667,3,2
86,2018-03-04 14:00:00,14.7,4.1,140.0,87.0,10.0,0.0,0.41,0.009000000000000001,0.3,0.055,0.02,20.0,25.0,14.683333333333334,3,2
87,2018-03-04 15:00:00,14.7,2.8,140.0,87.0,10.0,0.0,0.45,0.012,0.3,0.054000000000000006,0.019,22.0,25.0,14.625,3,2
88,2018-03-04 16:00:00,14.3,2.2,140.0,87.0,10.0,0.3,0.47,0.016,0.4,0.039,0.022000000000000002,30.0,33.0,14.566666666666666,3,2
89,2018-03-04 17:00:00,14.3,1.7,140.0,86.0,10.0,0.0,0.21,0.012,0.3,0.055999999999999994,0.012,,43.0,14.508333333333333,3,2
90,2018-03-04 18:00:00,14.3,2.0,110.0,81.0,10.0,0.0,0.05,0.012,0.3,0.045,0.023,32.0,39.0,14.45,3,2
91,2018-03-04 19:00:00,14.5,0.9,230.0,76.0,,0.0,0.0,0.023,0.4,0.017,0.047,25.0,31.0,14.391666666666666,3,2
92,2018-03-04 20:00:00,14.5,1.7,140.0,79.0,,,,0.049,0.3,0.01,0.053,30.0,32.0,14.333333333333332,3,2
93,2018-03-04 21:00:00,14.1,1.4,160.0,83.0,10.0,,,0.028999999999999998,0.4,0.022000000000000002,0.038,41.0,45.0,14.275,3,2
94,2018-03-04 22:00:00,13.0,0.4,0.0,97.0,10.0,,,0.016,0.4,0.035,0.019,38.0,39.0,14.216666666666667,3,2
95,2018-03-04 23:00:00,12.6,1.6,20.0,98.0,10.0,,,0.013000000000000001,0.3,0.04,0.015,38.0,40.0,14.158333333333333,3,2
96,2018-03-05 00:00:00,13.0,1.1,340.0,98.0,10.0,,,0.012,0.3,0.044000000000000004,0.016,,29.0,14.1,3,2
97,2018-03-05 01:00:00,12.6,1.7,360.0,98.0,10.0,,,0.013999999999999999,0.3,0.051,0.013999999999999999,,26.0,13.5125,3,2
98,2018-03-05 02:00:00,10.7,4.1,340.0,98.0,10.0,,,0.01,0.4,0.051,0.012,18.0,,12.924999999999999,3,2
99,2018-03-05 03:00:00,10.5,2.4,360.0,98.0,10.0,,,0.013000000000000001,0.4,0.05,0.012,15.0,,12.337499999999999,3,2
100,2018-03-05 04:00:00,7.9,4.1,360.0,98.0,10.0,,,0.027999999999999997,0.4,0.057999999999999996,0.008,13.0,,11.75,3,2
101,2018-03-05 05:00:00,7.0,4.8,360.0,98.0,10.0,,,0.026000000000000002,0.3,0.057999999999999996,0.004,7.0,9.0,11.1625,3,2
102,2018-03-05 06:00:00,7.0,4.0,360.0,98.0,10.0,,,0.025,0.2,0.055,0.006999999999999999,3.0,4.0,10.575,3,2
103,2018-03-05 07:00:00,6.5,4.5,360.0,98.0,10.0,0.0,0.0,0.025,0.2,0.053,0.009000000000000001,2.0,3.0,9.9875,3,2
104,2018-03-05 08:00:00,5.7,4.7,360.0,98.0,10.0,0.0,0.01,0.024,0.2,0.05,0.012,6.0,8.0,9.399999999999999,3,2
105,2018-03-05 09:00:00,5.8,6.5,360.0,92.0,10.0,0.0,0.04,0.027000000000000003,0.2,0.05,0.011000000000000001,,6.0,8.8125,3,2
106,2018-03-05 10:00:00,4.9,6.2,360.0,95.0,10.0,0.0,0.07,0.023,0.2,0.049,0.008,,5.0,8.225,3,2
107,2018-03-05 11:00:00,4.6,4.3,360.0,98.0,10.0,0.0,0.07,0.032,0.2,0.046,0.008,5.0,6.0,7.637499999999999,3,2
108,2018-03-05 12:00:00,4.7,4.8,360.0,98.0,10.0,0.0,0.12,0.032,0.2,0.047,0.009000000000000001,5.0,,7.049999999999999,3,2
109,2018-03-05 13:00:00,4.6,5.1,360.0,94.0,10.0,0.0,0.17,0.03,0.2,0.046,0.01,3.0,4.0,6.4624999999999995,3,2
110,2018-03-05 14:00:00,4.1,4.6,360.0,98.0,10.0,0.0,0.19,0.026000000000000002,0.2,0.047,0.011000000000000001,3.0,5.0,5.875,3,2
111,2018-03-05 15:00:00,4.6,3.8,360.0,94.0,10.0,0.0,0.22,0.026000000000000002,0.2,0.044000000000000004,0.013999999999999999,7.0,,5.2875,3,2
112,2018-03-05 16:00:00,4.8,4.9,360.0,87.0,10.0,0.0,0.22,0.032,0.2,0.046,0.01,5.0,,4.699999999999999,3,2
113,2018-03-05 17:00:00,4.6,4.6,360.0,90.0,10.0,0.0,0.11,0.026000000000000002,0.2,0.047,0.008,4.0,,4.112499999999999,3,2
114,2018-03-05 18:00:00,4.0,3.8,360.0,93.0,10.0,0.0,0.01,0.039,0.2,0.048,0.009000000000000001,4.0,10.0,3.5249999999999986,3,2
115,2018-03-05 19:00:00,4.2,3.9,360.0,86.0,10.0,0.0,0.0,0.042,0.2,0.045,0.012,5.0,10.0,2.9375,3,2
116,2018-03-05 20:00:00,4.3,3.4,360.0,81.0,10.0,,,0.036000000000000004,0.2,0.045,0.012,8.0,11.0,2.3499999999999996,3,2
117,2018-03-05 21:00:00,3.8,3.6,340.0,83.0,10.0,,,0.028999999999999998,0.2,0.043,0.011000000000000001,12.0,20.0,1.7624999999999993,3,2
118,2018-03-05 22:00:00,3.5,4.3,340.0,80.0,,,,0.017,0.4,0.038,0.015,11.0,27.0,1.174999999999999,3,2
119,2018-03-05 23:00:00,3.2,4.1,340.0,78.0,,,,0.012,0.4,0.039,0.013000000000000001,19.0,30.0,0.5874999999999986,3,2
120,2018-03-06 00:00:00,3.2,3.4,340.0,76.0,8.0,,,0.016,0.4,0.04,0.013999999999999999,12.0,28.0,0.0,3,2
121,2018-03-06 01:00:00,3.2,3.8,340.0,75.0,,,,0.024,0.3,0.040999999999999995,0.013999999999999999,18.0,31.0,0.19999999999999998,3,2
122,2018-03-06 02:00:00,3.2,3.7,340.0,75.0,,,,0.019,0.3,0.038,0.016,13.0,32.0,0.39999999999999997,3,2
123,2018-03-06 03:00:00,3.4,4.0,340.0,74.0,9.0,,,0.012,0.5,0.038,0.017,14.0,25.0,0.6,3,2
124,2018-03-06 04:00:00,3.2,2.9,340.0,73.0,9.0,,,0.015,0.4,0.039,0.013999999999999999,18.0,28.0,0.7999999999999999,3,2
125,2018-03-06 05:00:00,3.4,3.1,340.0,73.0,9.0,,,0.013999999999999999,0.5,0.038,0.013000000000000001,17.0,35.0,0.9999999999999999,3,2
126,2018-03-06 06:00:00,3.4,2.9,320.0,73.0,8.0,,,0.01,0.7,0.037000000000000005,0.017,16.0,37.0,1.2,3,2
127,2018-03-06 07:00:00,3.2,2.8,320.0,74.0,8.0,0.0,0.0,0.017,0.4,0.035,0.021,16.0,31.0,1.4,3,2
128,2018-03-06 08:00:00,3.7,2.8,320.0,73.0,9.0,0.0,0.06,0.01,0.4,0.023,0.032,14.0,33.0,1.5999999999999999,3,2
129,2018-03-06 09:00:00,4.8,2.6,340.0,69.0,8.0,0.3,0.25,0.009000000000000001,0.4,0.027000000000000003,0.028999999999999998,15.0,29.0,1.7999999999999998,3,2
130,2018-03-06 10:00:00,5.8,2.6,360.0,64.0,8.0,0.0,0.42,0.011000000000000001,0.3,0.038,0.017,19.0,29.0,1.9999999999999998,3,2
131,2018-03-06 11:00:00,6.9,2.7,50.0,59.0,5.0,0.0,0.61,0.013999999999999999,0.2,0.048,0.011000000000000001,15.0,31.0,2.1999999999999997,3,2
132,2018-03-06 12:00:00,7.4,4.2,90.0,61.0,5.0,0.7,1.04,0.01,0.2,0.055999999999999994,0.011000000000000001,10.0,28.0,2.4,3,2
133,2018-03-06 13:00:00,7.7,4.4,90.0,58.0,5.0,1.0,1.75,0.01,0.2,0.059000000000000004,0.008,11.0,34.0,2.5999999999999996,3,2
134,2018-03-06 14:00:00,7.1,4.3,70.0,58.0,4.0,1.0,1.27,0.019,0.3,0.057,0.011000000000000001,10.0,34.0,2.8,3,2
135,2018-03-06 15:00:00,6.8,4.2,70.0,58.0,1.0,1.0,1.44,0.013000000000000001,0.3,0.057,0.011000000000000001,12.0,36.0,2.9999999999999996,3,2
136,2018-03-06 16:00:00,6.9,3.6,70.0,58.0,1.0,1.0,1.02,0.021,0.3,0.055,0.009000000000000001,16.0,37.0,3.1999999999999997,3,2
137,2018-03-06 17:00:00,6.0,3.9,70.0,59.0,3.0,0.8,0.55,0.012,0.3,0.055,0.008,14.0,40.0,3.4,3,2
138,2018-03-06 18:00:00,5.2,2.8,50.0,62.0,4.0,0.7,0.19,0.013999999999999999,0.2,0.055,0.008,13.0,40.0,3.5999999999999996,3,2
139,2018-03-06 19:00:00,5.2,1.7,70.0,64.0,,0.0,0.0,0.012,0.2,0.055999999999999994,0.01,11.0,22.0,3.8,3,2
140,2018-03-06 20:00:00,5.2,2.0,50.0,64.0,,,,0.01,0.2,0.054000000000000006,0.012,11.0,24.0,3.9999999999999996,3,2
141,2018-03-06 21:00:00,5.1,1.4,50.0,65.0,8.0,,,0.005,0.2,0.057999999999999996,0.008,8.0,23.0,4.199999999999999,3,2
142,2018-03-06 22:00:00,5.1,2.3,50.0,62.0,,,,0.01,0.2,0.055999999999999994,0.009000000000000001,9.0,20.0,4.3999999999999995,3,2
143,2018-03-06 23:00:00,5.0,1.3,20.0,64.0,,,,0.012,0.2,0.057999999999999996,0.006999999999999999,12.0,25.0,4.6,3,2
144,2018-03-07 00:00:00,5.2,1.6,20.0,66.0,8.0,,,0.01,0.2,0.057,0.009000000000000001,11.0,30.0,4.8,3,2
145,2018-03-07 01:00:00,5.8,3.0,70.0,64.0,,,,0.01,0.2,0.057999999999999996,0.009000000000000001,13.0,28.0,6.108333333333333,3,2
146,2018-03-07 02:00:00,5.8,1.8,50.0,64.0,,,,0.013000000000000001,0.2,0.057,0.008,13.0,30.0,7.416666666666666,3,2
147,2018-03-07 03:00:00,6.0,2.1,20.0,64.0,9.0,,,0.011000000000000001,0.2,0.057,0.008,11.0,21.0,8.725,3,2
148,2018-03-07 04:00:00,5.9,1.6,20.0,65.0,9.0,,,0.012,0.2,0.057999999999999996,0.006,13.0,24.0,10.033333333333333,3,2
149,2018-03-07 05:00:00,6.5,3.5,70.0,64.0,9.0,,,0.013000000000000001,0.2,0.057999999999999996,0.005,15.0,25.0,11.341666666666667,3,2
150,2018-03-07 06:00:00,6.4,2.0,50.0,62.0,9.0,,,0.008,0.2,0.057,0.006,13.0,32.0,12.649999999999999,3,2
151,2018-03-07 07:00:00,6.3,2.6,360.0,72.0,9.0,0.0,0.0,0.006,0.2,0.055,0.008,19.0,35.0,13.958333333333332,3,2
152,2018-03-07 08:00:00,6.8,3.0,70.0,72.0,10.0,0.0,0.0,0.006999999999999999,0.2,0.048,0.015,12.0,27.0,15.266666666666666,3,2
153,2018-03-07 09:00:00,7.1,4.1,90.0,63.0,10.0,0.0,0.04,0.005,0.2,0.048,0.013999999999999999,20.0,40.0,16.575,3,2
154,2018-03-07 10:00:00,7.3,3.9,90.0,67.0,10.0,0.0,0.12,0.013000000000000001,0.2,0.047,0.013999999999999999,16.0,33.0,17.883333333333333,3,2
155,2018-03-07 11:00:00,7.1,5.8,70.0,69.0,10.0,0.0,0.36,0.008,0.2,0.043,0.013000000000000001,17.0,34.0,19.191666666666666,3,2
156,2018-03-07 12:00:00,6.9,4.7,90.0,71.0,10.0,0.0,0.15,0.006999999999999999,0.2,0.046,0.012,15.0,39.0,20.5,3,2
157,2018-03-07 13:00:00,6.8,5.0,90.0,69.0,10.0,0.0,0.17,0.006,0.2,0.047,0.01,16.0,42.0,21.808333333333334,3,2
158,2018-03-07 14:00:00,6.7,3.7,90.0,68.0,10.0,0.0,0.13,0.005,0.2,0.046,0.011000000000000001,14.0,24.0,23.116666666666667,3,2
159,2018-03-07 15:00:00,6.7,3.2,70.0,70.0,10.0,0.0,0.13,0.005,0.2,0.046,0.011000000000000001,13.0,39.0,24.425,3,2
160,2018-03-07 16:00:00,6.9,2.2,50.0,73.0,10.0,0.0,0.13,0.006999999999999999,0.2,0.047,0.01,18.0,39.0,25.733333333333334,3,2
161,2018-03-07 17:00:00,6.6,2.2,20.0,75.0,10.0,0.0,0.07,0.008,0.2,0.045,0.013000000000000001,12.0,35.0,27.041666666666668,3,2
162,2018-03-07 18:00:00,6.6,2.4,20.0,79.0,10.0,0.0,0.02,0.005,0.2,0.05,0.009000000000000001,13.0,30.0,28.35,3,2
163,2018-03-07 19:00:00,6.8,2.7,360.0,77.0,,0.0,0.0,0.006999999999999999,0.2,0.052000000000000005,0.009000000000000001,12.0,29.0,29.658333333333335,3,2
164,2018-03-07 20:00:00,6.8,2.7,20.0,77.0,10.0,,,0.004,0.2,0.054000000000000006,0.008,11.0,21.0,30.96666666666667,3,2
165,2018-03-07 21:00:00,5.9,2.5,360.0,93.0,10.0,,,0.004,0.2,0.054000000000000006,0.006999999999999999,11.0,23.0,32.275,3,2
166,2018-03-07 22:00:00,5.7,2.9,360.0,96.0,10.0,,,0.013999999999999999,0.2,0.047,0.01,11.0,27.0,33.583333333333336,3,2
167,2018-03-07 23:00:00,5.4,3.0,340.0,98.0,10.0,,,0.012,0.2,0.044000000000000004,0.009000000000000001,18.0,28.0,34.891666666666666,3,2
168,2018-03-08 00:00:00,4.7,3.4,340.0,98.0,10.0,,,0.008,0.2,0.044000000000000004,0.01,10.0,16.0,36.2,3,2
169,2018-03-08 01:00:00,4.0,3.3,340.0,98.0,10.0,,,0.011000000000000001,0.2,0.042,0.01,7.0,12.0,34.69583333333333,3,2
170,2018-03-08 02:00:00,3.9,2.7,340.0,98.0,10.0,,,0.008,0.2,0.040999999999999995,0.01,5.0,10.0,33.19166666666667,3,2
171,2018-03-08 03:00:00,4.3,3.5,340.0,98.0,10.0,,,0.004,1.0,0.04,0.012,5.0,17.0,31.687500000000004,3,2
172,2018-03-08 04:00:00,4.2,3.7,340.0,98.0,10.0,,,0.003,2.9,0.045,0.006999999999999999,6.0,14.0,30.183333333333337,3,2
173,2018-03-08 05:00:00,3.7,4.4,340.0,98.0,10.0,,,0.003,1.3,0.043,0.006999999999999999,13.0,14.0,28.67916666666667,3,2
174,2018-03-08 06:00:00,3.4,4.5,340.0,98.0,10.0,,,0.003,1.5,0.040999999999999995,0.011000000000000001,7.0,12.0,27.175000000000004,3,2
175,2018-03-08 07:00:00,3.1,6.1,340.0,98.0,10.0,0.0,0.0,0.003,1.2,0.037000000000000005,0.016,6.0,11.0,25.670833333333334,3,2
